,0
MMP25,0.0001620102
PTGES,0.00016162523
CD2,0.00016145386
CSRNP1,0.00016101477
CHGB,0.00016087438
TRIM34,0.000160641
LINGO1-AS1,0.00016050985
C1QTNF2,0.00015892243
DNAJB2,0.00015856199
CTC-203F4.2,0.000158357
LINC00500,0.00015826791
CTSW,0.00015762783
CD37,0.00015752167
ERAP2,0.00015693637
RP11-1398P2.1,0.00015524862
AKAP12,0.00015472804
FRMPD3,0.00015444521
C17orf99,0.00015419528
BSN-AS2,0.00015388122
CRYL1,0.00015376034
RP1-187B23.1,0.0001534354
RGS6,0.00015321701
AP003774.1,0.00015251493
RP11-887P2.5,0.00015218282
PCDHGA7,0.00015197284
AC124944.5,0.00015015519
RP11-366H4.1,0.0001500094
LINC00957,0.0001494425
RP11-474P2.6,0.00014845801
ITGA4,0.00014829873
SMIM14,0.00014822249
RASD1,0.00014802693
CPA1,0.00014799123
FCGBP,0.0001467792
SOCS1,0.00014590175
ABCA5,0.00014500797
PIPOX,0.00014437996
SASH3,0.00014388128
CXCL3,0.00014358167
AC005616.2,0.00014356687
PTPRE,0.00014349446
PTGIR,0.0001431766
AC011997.1,0.0001431155
ALAS1,0.00014299477
RP11-219B4.7,0.00014278505
ACSM5,0.00014260488
COL6A5,0.00014250701
